side,label,view,pretrain_wall_s,pretrain_last_loss,rmse_mean,rmse_sd,finetune_wall_s,slots_used,kl_to_uniform_bits,per_graph_entropy_bits_mean
A,A baseline (RandomView),"RandomView,RandomView",13.933165544003714,9.266990661621094,0.9536944267471185,0.09755072417634147,42.27999304300465,3,0.5010975194610997,1.4871469455354605
B,B boltzmann + MMFFrandom,"WeightedMMFFView,RandomView",16.429976243001875,2232.58203125,0.5691592077562481,0.569096861297813,61.00788869601092,4,0.24024227560577008,1.4418341077463075
C,C boltzmann pair (sample × 2),"WeightedMMFFView,WeightedMMFFView",13.385276391985826,2238.210205078125,0.7404725496341736,0.49449252508299385,57.58403731200087,4,0.03661503947892897,1.0473613687575902
