side,label,view,pretrain_wall_s,pretrain_last_loss,rmse_mean,rmse_sd,finetune_wall_s,slots_used,kl_to_uniform_bits,per_graph_entropy_bits_mean
A,A baseline (RandomView),"RandomView,RandomView",33.327222857995366,12.986761093139648,0.8423548747566918,0.15255097329345163,69.06285512199975,3,0.49654128712958695,1.4815928224357175
B,B top1 + MMFFrandom,"WeightedMMFFView,RandomView",298.43746320699574,111.73900604248047,1.669194728516339,0.40944228250574277,853.5471676709931,4,0.2163519448093256,1.1363578088071042
C,C weighted (top1 vs top2),"WeightedMMFFView,WeightedMMFFView",269.5179909569997,111.73900604248047,1.6691950984543384,0.40944295798755903,868.7821459940023,4,0.05478898503280037,0.9999999999971148
