side,label,view,pretrain_wall_s,pretrain_last_loss,rmse_mean,rmse_sd,finetune_wall_s,slots_used,kl_to_uniform_bits,per_graph_entropy_bits_mean
A,A baseline (RandomView),"RandomView,RandomView",9.846089202997973,9.266990661621094,0.9536944267471185,0.09755072417634147,15.098474575999717,2,1.0000476207342495,0.983733770748243
C,C weighted (top1 vs top2),"WeightedMMFFView,WeightedMMFFView",3.3112488569968264,2224.12646484375,0.6411165407628424,0.6256076508179494,21.06545281099534,4,0.09956892095590576,-1.4428232973175177e-12
