side,label,view,pretrain_wall_s,pretrain_last_loss,rmse_mean,rmse_sd,finetune_wall_s,slots_used,kl_to_uniform_bits,per_graph_entropy_bits_mean
A,A baseline (RandomView),"RandomView,RandomView",14.586792575006257,9.266990661621094,0.9536944267471185,0.09755072417634147,43.93145766899397,3,0.5010975194610997,1.4871469455354605
B,B boltzmann + MMFFrandom,"WeightedMMFFView,RandomView",17.867277184006525,11.8120698928833,0.8165067750342248,0.08221761073905404,61.44371862099797,4,0.19812517578929856,1.4744826363930936
C,C boltzmann pair (sample × 2),"WeightedMMFFView,WeightedMMFFView",11.782914665993303,11.868324279785156,0.6561328388376269,0.46434571215187753,58.360852134996094,4,0.004137112677889631,1.0172944689374503
