side,label,view,pretrain_wall_s,pretrain_last_loss,rmse_mean,rmse_sd,finetune_wall_s,slots_used,kl_to_uniform_bits,per_graph_entropy_bits_mean
A,A baseline (RandomView),"RandomView,RandomView",9.655257940998126,9.266990661621094,0.9536944267471185,0.09755072417634147,15.897165210000821,3,0.5010975194610997,1.4871469455354605
B,B top1 + MMFFrandom,"WeightedMMFFView,RandomView",9.117036775998713,11.808479309082031,0.5862790713438482,0.22841504832156412,22.07210118700459,4,0.16161064399937836,1.217927382023151
C,C weighted (top1 vs top2),"WeightedMMFFView,WeightedMMFFView",3.3087421160016675,11.808479309082031,0.5862790713438482,0.22841504832156412,21.526863990999118,4,0.02280178150549508,0.9999999999971146
