side,label,view,pretrain_wall_s,pretrain_last_loss,rmse_mean,rmse_sd,finetune_wall_s,slots_used,kl_to_uniform_bits,per_graph_entropy_bits_mean
A,A baseline (RandomView),"RandomView,RandomView",9.100980538998556,9.266990661621094,0.9536944267471185,0.09755072417634147,14.83940085699578,3,0.5010975194610997,1.4871469455354605
B,B top1 + MMFFrandom,"WeightedMMFFView,RandomView",11.685435760002292,10.874652862548828,1.1824528013239306,0.7135470280636382,44.575690120997024,4,0.16161064399937836,1.217927382023151
C,C weighted (top1 vs top2),"WeightedMMFFView,WeightedMMFFView",4.031871758001216,10.874652862548828,1.1824528013239306,0.7135470280636382,45.06699410500005,4,0.02280178150549508,0.9999999999971146
