Epoch	Time(sec)	Loss_E	Loss_V	MAE_val(eV)	MAE_test(eV)
0	4.293721100082621	200.49998092651367	215.15662384033203	7.991232395172119,2.316169261932373	8.198518753051758,1.1972633600234985
1	5.515793099999428	198.02699279785156	211.49608612060547	7.976395606994629,2.3151235580444336	8.183547019958496,1.1968412399291992
2	6.517930499976501	199.63955307006836	220.8038444519043	7.961232662200928,2.31428861618042	8.168230056762695,1.196506142616272
3	7.341929699992761	192.79699325561523	198.76984786987305	7.945096969604492,2.31302547454834	8.1519136428833,1.195992112159729
4	8.328998200129718	197.72977447509766	193.3746566772461	7.927796840667725,2.3117594718933105	8.134367942810059,1.1954950094223022
5	9.413383699953556	186.20693016052246	185.94104766845703	7.909223556518555,2.310563802719116	8.115549087524414,1.1950346231460571
6	10.355593099957332	190.89838027954102	179.56779670715332	7.889656066894531,2.3091230392456055	8.095595359802246,1.19448721408844
7	11.293498800136149	199.8581657409668	179.40940475463867	7.868770599365234,2.3079257011413574	8.074092864990234,1.194017767906189
8	12.1397059999872	192.57651138305664	165.33705711364746	7.845935821533203,2.3066940307617188	8.050500869750977,1.1935161352157593
