side,label,view,pretrain_wall_s,pretrain_last_loss,rmse_mean,rmse_sd,finetune_wall_s,slots_used,kl_to_uniform_bits,per_graph_entropy_bits_mean
A,A baseline (RandomView),"RandomView,RandomView",9.286249900003895,15.243566513061523,1.0075788134198294,0.13929224298717113,18.013308199937455,2,1.000122302232865,0.9233680529855477
B,B top1 + identity,"WeightedMMFFView,function",2.3619260999839753,15.243961334228516,1.007599688297181,0.13926372826930145,18.135131199960597,4,0.14445845556311815,-1.4428232973175173e-12
C,C weighted (top1 vs top2),"WeightedMMFFView,WeightedMMFFView",2.621340399957262,15.243695259094238,1.0075854900922587,0.1392894122015947,23.781429100083187,4,0.14445845556311815,-1.4428232973175173e-12
