side,label,view,pretrain_wall_s,pretrain_last_loss,rmse_mean,rmse_sd,finetune_wall_s,slots_used,kl_to_uniform_bits,per_graph_entropy_bits_mean
A,A baseline (RandomView),"RandomView,RandomView",8.48685388299782,9.266990661621094,0.9536944267471185,0.09755072417634147,14.78385721599625,3,0.5010975194610997,1.4871469455354605
B,B top1 + MMFFrandom,"WeightedMMFFView,RandomView",8.142254179998417,11.808479309082031,0.5862790713438482,0.22841504832156412,20.25801428300474,4,0.19622446849970565,1.1626124342301827
C,C weighted (top1 vs top2),"WeightedMMFFView,WeightedMMFFView",3.186654181998165,11.808479309082031,0.5862790713438482,0.22841504832156412,19.63746355799958,4,0.0740377512298973,0.9999999999971146
