side,label,view,pretrain_wall_s,pretrain_last_loss,rmse_mean,rmse_sd,finetune_wall_s,slots_used,kl_to_uniform_bits,per_graph_entropy_bits_mean
A,A baseline (RandomView),"RandomView,RandomView",424.9785553999991,8.602478981018066,0.9255590882120359,0.21389098987883337,7134.508931099999,2,1.000003451766234,0.9847382569327713
B,B top1 + identity,"WeightedMMFFView,function",317.1569571,8.712187767028809,0.9260187010341618,0.16100122984871532,21251.599307399996,4,0.11070508812956108,-1.4428232973175173e-12
C,C weighted (top1 vs top2),"WeightedMMFFView,WeightedMMFFView",422.97493029999896,8.796557426452637,0.9045408524107543,0.17055612697844855,11090.672082199999,4,0.11070508812956108,-1.4428232973175173e-12
