side,label,view,pretrain_wall_s,pretrain_last_loss,rmse_mean,rmse_sd,finetune_wall_s,slots_used,kl_to_uniform_bits,per_graph_entropy_bits_mean
A,A baseline (RandomView),"RandomView,RandomView",9.286696048999147,9.266990661621094,0.9536944267471185,0.09755072417634147,14.921392815005674,2,1.0000476207342495,0.983733770748243
B,B top1 + MMFFrandom,"WeightedMMFFView,RandomView",8.488256058000843,11.808479309082031,0.5862790713438482,0.22841504832156412,19.94533018400398,4,0.10436556227893205,-1.4428232973175177e-12
C,C weighted (top1 vs top2),"WeightedMMFFView,WeightedMMFFView",3.158073594000598,11.808479309082031,0.5862790713438482,0.22841504832156412,22.604428023994842,4,0.10436556227893205,-1.4428232973175177e-12
