side,label,view,pretrain_wall_s,pretrain_last_loss,rmse_mean,rmse_sd,finetune_wall_s,slots_used,kl_to_uniform_bits,per_graph_entropy_bits_mean
A,A baseline (RandomView),"RandomView,RandomView",350.6472707000794,10.102875709533691,1.1156604707779687,0.0,157.0387793999398,2,1.000003451766234,0.9847382569327713
B,B top1 + identity,"WeightedMMFFView,function",256.78703939996194,8.963773727416992,1.1225986813708577,0.0,139.7873081000289,4,0.06674381247599219,-1.4428232973175173e-12
C,C weighted (top1 vs top2),"WeightedMMFFView,WeightedMMFFView",246.29919789999258,9.289239883422852,1.0558751518942162,0.0,231.14990409999155,4,0.06674381247599219,-1.4428232973175173e-12
